MovieName	Genres	Director	Actors	Tagline	Summary	BoxOfficeBudget	BoxOfficeGross
The Truman Show	Comedy|Drama|Sci-Fi	Peter Weir	Jim Carrey,	We like to watch! See more »	An insurance salesman/adjuster discovers his entire life is actually a television show.	 $60,000,000 (estimated)	 $125,603,360 (USA)(9 October 1998)
Before Sunrise	Drama|Romance	Richard Linklater	Ethan Hawke,	Jump on and live a Eurorail journey you will never forget! See more »	A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.	 $2,500,000 (estimated)	 $5,400,000 (USA)
The Bourne Ultimatum	Action|Mystery|Thriller	Paul Greengrass	Matt Damon,	Remember everything. Forgive nothing. See more »	Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.	 $110,000,000 (estimated)	 $227,137,090 (USA)(22 November 2007)
Gandhi	Biography|Drama|History	Richard Attenborough	Ben Kingsley,	The Man of the Century. The Motion Picture of a Lifetime. See more »	Gandhi's character is fully explained as a man of nonviolence. Through his patience, he is able to drive the British out of the subcontinent. And the stubborn nature of Jinnah and his commitment towards Pakistan is portrayed.	 $22,000,000 (estimated)	NA
Les diaboliques	Crime|Drama|Horror	Henri-Georges Clouzot (as H.G. Clouzot)	Simone Signoret,	The Great Suspense Film That Shocked the World... And Became A Classic. See more »	The wife of a cruel headmaster and his mistress conspire to kill him, but after the murder is committed, his body disappears, and strange events begin to plague the two women.	NA	NA
Rocky	Drama|Sport	John G. Avildsen	Sylvester Stallone,	Meet the "Italian Stallion"	Rocky Balboa, a small-time boxer, gets a supremely rare chance to fight the heavy-weight champion, Apollo Creed, in a bout in which he strives to go the distance for his self-respect.	 $960,000 (estimated)	 $117,235,247 (USA)
Donnie Darko	Drama|Sci-Fi|Thriller	Richard Kelly	Jake Gyllenhaal,	Be Afraid of the Dark See more »	A troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes, after narrowly escaping a bizarre accident.	 $4,500,000 (estimated)	 $727,883 (USA)(1 October 2004)
Harry Potter and the Deathly Hallows: Part 2	Adventure|Drama|Fantasy	David Yates	Daniel Radcliffe,	It All Ends Here See more »	Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.	 $125,000,000 (estimated)	 $380,955,619 (USA)(11 November 2011)
8½	Drama|Fantasy	Federico Fellini	Marcello Mastroianni,	A picture that goes beyond what men think about - because no man ever thought about it in quite this way! See more »	A harried movie director retreats into his memories and fantasies.	NA	 $50,690 (USA)(23 April 1999)
Monsters, Inc	Animation|Adventure|Comedy	Pete Docter,	Billy Crystal,	We Think They Are Scary, But Really We Scare Them! See more »	In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.	 $115,000,000 (estimated)	 $289,907,418 (USA)(26 April 2013)
